idx,lon,lat,day,night
116.0_40.13,116.0,40.13,9.0,27.0
116.44_40.35,116.44,40.35,3.0,5.0
116.2_40.02,116.2,40.02,31.0,2.0
116.57_40.51,116.57,40.51,1.0,4.0
117.39_40.18,117.39,40.18,1.0,0.0
116.7_40.4,116.7,40.4,42.0,27.0
115.96_39.99,115.96,39.99,24.0,5.0
115.75_39.93,115.75,39.93,4.0,1.0
116.1_39.61,116.1,39.61,37.0,10.0
115.75_39.99,115.75,39.99,3.0,52.0
115.75_39.98,115.75,39.98,1.0,4.0
116.91_40.67,116.91,40.67,1.0,0.0
116.91_40.66,116.91,40.66,10.0,0.0
116.15_39.78,116.15,39.78,340.0,663.0
116.15_39.79,116.15,39.79,763.0,1373.0
116.15_39.76,116.15,39.76,3170.0,4965.0
116.15_39.77,116.15,39.77,235.0,914.0
116.15_39.74,116.15,39.74,2691.0,3030.0
116.15_39.75,116.15,39.75,2929.0,2843.0
116.15_39.72,116.15,39.72,1832.0,7283.0
116.15_39.73,116.15,39.73,1820.0,7410.0
116.15_39.71,116.15,39.71,107.0,225.0
116.38_39.79,116.38,39.79,1064.0,1273.0
116.38_39.78,116.38,39.78,2650.0,6948.0
116.18_39.9,116.18,39.9,5338.0,10657.0
116.18_39.8,116.18,39.8,887.0,3109.0
116.38_39.71,116.38,39.71,1411.0,7821.0
116.38_39.73,116.38,39.73,277.0,134.0
116.38_39.72,116.38,39.72,1183.0,1494.0
116.38_39.75,116.38,39.75,3268.0,8457.0
116.38_39.74,116.38,39.74,1166.0,4612.0
116.38_39.77,116.38,39.77,3753.0,7987.0
116.38_39.76,116.38,39.76,4293.0,11149.0
116.43_40.69,116.43,40.69,1.0,1.0
116.44_39.63,116.44,39.63,0.0,7.0
115.88_39.59,115.88,39.59,55.0,309.0
115.88_39.58,115.88,39.58,260.0,391.0
115.88_39.57,115.88,39.57,124.0,1382.0
115.88_39.56,115.88,39.56,52.0,1132.0
115.88_39.55,115.88,39.55,0.0,49.0
116.92_40.4,116.92,40.4,159.0,21.0
115.52_39.68,115.52,39.68,15.0,1.0
116.19_40.29,116.19,40.29,2.0,65.0
116.11_40.45,116.11,40.45,0.0,10.0
116.11_40.44,116.11,40.44,1.0,1.0
116.11_40.43,116.11,40.43,1.0,8.0
116.11_40.42,116.11,40.42,1.0,0.0
116.19_40.28,116.19,40.28,0.0,1.0
116.11_40.49,116.11,40.49,0.0,148.0
116.11_40.48,116.11,40.48,28.0,154.0
116.09_39.62,116.09,39.62,15.0,313.0
116.09_39.63,116.09,39.63,91.0,172.0
116.09_39.61,116.09,39.61,0.0,11.0
116.09_39.66,116.09,39.66,1166.0,271.0
116.09_39.67,116.09,39.67,566.0,1512.0
116.09_39.64,116.09,39.64,245.0,29.0
116.09_39.65,116.09,39.65,1250.0,34.0
116.59_40.76,116.59,40.76,0.0,1.0
116.59_40.77,116.59,40.77,0.0,3.0
116.09_39.68,116.09,39.68,148.0,621.0
116.09_39.69,116.09,39.69,44.0,25.0
116.31_39.81,116.31,39.81,1045.0,84.0
116.31_39.83,116.31,39.83,3735.0,2275.0
116.48_40.41,116.48,40.41,12.0,15.0
116.19_40.22,116.19,40.22,877.0,663.0
116.48_40.44,116.48,40.44,0.0,4.0
116.48_40.47,116.48,40.47,4.0,1.0
116.48_40.49,116.48,40.49,6.0,0.0
116.19_40.25,116.19,40.25,182.0,945.0
116.31_39.84,116.31,39.84,15894.0,14401.0
116.19_40.27,116.19,40.27,15.0,390.0
115.78_39.6,115.78,39.6,63.0,49.0
115.78_39.8,115.78,39.8,2.0,20.0
115.78_39.9,115.78,39.9,2.0,2.0
116.19_40.26,116.19,40.26,7.0,439.0
115.92_40.4,115.92,40.4,66.0,217.0
117.03_40.09,117.03,40.09,4.0,336.0
116.54_39.91,116.54,39.91,3978.0,15009.0
116.54_39.93,116.54,39.93,1717.0,1316.0
116.54_39.92,116.54,39.92,2057.0,6896.0
116.54_39.95,116.54,39.95,3873.0,7042.0
116.54_39.94,116.54,39.94,1931.0,6349.0
116.54_39.97,116.54,39.97,2769.0,13080.0
116.54_39.96,116.54,39.96,3843.0,6298.0
116.54_39.99,116.54,39.99,158.0,139.0
116.54_39.98,116.54,39.98,447.0,7686.0
116.51_39.61,116.51,39.61,210.0,10.0
116.69_40.18,116.69,40.18,46.0,10.0
116.51_39.63,116.51,39.63,124.0,315.0
116.51_39.62,116.51,39.62,766.0,22.0
116.51_39.65,116.51,39.65,52.0,49.0
116.51_39.64,116.51,39.64,12.0,134.0
116.51_39.67,116.51,39.67,246.0,1149.0
116.51_39.66,116.51,39.66,100.0,35.0
116.51_39.69,116.51,39.69,156.0,82.0
116.51_39.68,116.51,39.68,1200.0,3143.0
116.69_40.13,116.69,40.13,3007.0,4830.0
116.69_40.12,116.69,40.12,45.0,11.0
116.69_40.15,116.69,40.15,1113.0,4.0
116.69_40.14,116.69,40.14,6342.0,363.0
116.69_40.17,116.69,40.17,303.0,18.0
116.69_40.16,116.69,40.16,478.0,16.0
116.29_40.69,116.29,40.69,1.0,0.0
115.5_40.04,115.5,40.04,6.0,0.0
116.29_40.66,116.29,40.66,18.0,0.0
115.5_40.03,115.5,40.03,135.0,0.0
116.66_39.6,116.66,39.6,1.0,0.0
116.12_40.49,116.12,40.49,29.0,1.0
115.99_40.04,115.99,40.04,1.0,0.0
116.12_40.46,116.12,40.46,1.0,50.0
115.99_40.05,115.99,40.05,0.0,1.0
116.86_40.61,116.86,40.61,0.0,6.0
116.07_40.09,116.07,40.09,6.0,10.0
115.93_39.73,115.93,39.73,404.0,1.0
115.93_39.72,115.93,39.72,48.0,300.0
116.63_39.93,116.63,39.93,5129.0,4582.0
116.63_39.92,116.63,39.92,2919.0,6291.0
116.63_39.91,116.63,39.91,14150.0,11261.0
116.63_39.97,116.63,39.97,1055.0,5361.0
116.63_39.96,116.63,39.96,513.0,2738.0
116.63_39.95,116.63,39.95,470.0,24.0
116.63_39.94,116.63,39.94,4113.0,282.0
116.63_39.99,116.63,39.99,1216.0,8885.0
116.63_39.98,116.63,39.98,687.0,1104.0
115.56_39.92,115.56,39.92,2.0,1.0
115.56_39.91,115.56,39.91,2.0,22.0
116.55_40.83,116.55,40.83,4.0,2.0
116.16_40.33,116.16,40.33,1.0,32.0
116.16_40.32,116.16,40.32,2.0,9.0
116.16_40.35,116.16,40.35,10.0,1.0
116.66_39.83,116.66,39.83,1050.0,3091.0
116.95_40.43,116.95,40.43,3.0,81.0
116.95_40.42,116.95,40.42,34.0,28.0
116.95_40.41,116.95,40.41,133.0,163.0
116.41_39.64,116.41,39.64,77.0,359.0
116.95_40.45,116.95,40.45,0.0,1.0
116.95_40.44,116.95,40.44,2.0,13.0
116.16_40.39,116.16,40.39,0.0,2.0
115.7_39.97,115.7,39.97,41.0,61.0
116.22_40.0,116.22,40.0,703.0,3477.0
116.22_40.1,116.22,40.1,331.0,2303.0
116.22_40.2,116.22,40.2,6281.0,7820.0
116.22_40.3,116.22,40.3,20.0,17.0
116.52_39.99,116.52,39.99,1796.0,1174.0
116.52_39.98,116.52,39.98,2254.0,5059.0
115.71_39.97,115.71,39.97,1.0,14.0
115.71_39.95,115.71,39.95,28.0,1.0
116.34_40.29,116.34,40.29,11.0,0.0
116.52_39.93,116.52,39.93,1785.0,1336.0
116.52_39.92,116.52,39.92,12639.0,19173.0
116.52_39.91,116.52,39.91,11295.0,11824.0
115.71_39.98,115.71,39.98,39.0,46.0
116.52_39.97,116.52,39.97,1252.0,254.0
116.52_39.96,116.52,39.96,928.0,730.0
116.52_39.95,116.52,39.95,3071.0,1276.0
116.34_40.21,116.34,40.21,213.0,344.0
115.7_39.99,115.7,39.99,0.0,1.0
116.43_40.25,116.43,40.25,44.0,0.0
117.24_40.53,117.24,40.53,0.0,3.0
117.24_40.57,117.24,40.57,0.0,2.0
117.24_40.54,117.24,40.54,2.0,22.0
117.24_40.58,117.24,40.58,0.0,5.0
116.75_40.34,116.75,40.34,686.0,18.0
116.24_39.59,116.24,39.59,159.0,985.0
116.75_40.36,116.75,40.36,2620.0,4.0
116.75_40.37,116.75,40.37,2129.0,21.0
116.75_40.31,116.75,40.31,1.0,19.0
116.75_40.32,116.75,40.32,1.0,169.0
116.75_40.33,116.75,40.33,261.0,35.0
116.75_40.38,116.75,40.38,4422.0,119.0
116.75_40.39,116.75,40.39,162.0,860.0
116.24_39.56,116.24,39.56,0.0,10.0
